model,sequence,mse,comp_time_s
REKF,0,0.6068199276924133,5.848376035690308
REKF,1,0.6236701607704163,5.888548851013184
REKF,2,0.5376037359237671,6.035705327987671
REKF,3,0.7051522135734558,6.142823219299316
REKF,4,0.5973756909370422,5.913129568099976
REKF,5,0.7155731320381165,5.9122631549835205
REKF,6,0.6612036228179932,5.7220847606658936
REKF,7,0.7005717754364014,5.742100954055786
REKF,8,0.6213177442550659,5.667216777801514
REKF,9,0.6153803467750549,6.140491724014282
Original,0,0.6265258193016052,7.166966915130615
Original,1,0.6567829847335815,6.986294507980347
Original,2,0.5806058645248413,7.484736919403076
Original,3,0.7287685871124268,7.647847414016724
Original,4,0.6267855167388916,6.821067810058594
Original,5,0.7344159483909607,6.7542197704315186
Original,6,0.6820135116577148,7.007978677749634
Original,7,0.7075140476226807,6.860463380813599
Original,8,0.6543280482292175,6.768761873245239
Original,9,0.639901876449585,6.782447576522827
Proposed,0,0.5999597311019897,7.2627480030059814
Proposed,1,0.6242823600769043,7.344462633132935
Proposed,2,0.5356897711753845,7.6345202922821045
Proposed,3,0.7073832750320435,7.340320825576782
Proposed,4,0.5982394218444824,7.322816610336304
Proposed,5,0.7169302105903625,7.267172813415527
Proposed,6,0.6633798480033875,7.504852771759033
Proposed,7,0.6963174939155579,7.240082263946533
Proposed,8,0.6219980120658875,7.748204708099365
Proposed,9,0.6146550178527832,7.273988485336304
