model,sequence,mse,comp_time_s
REKF,0,0.631525456905365,0.7081201076507568
REKF,1,0.5619092583656311,0.683434009552002
REKF,2,0.48627081513404846,0.6818633079528809
REKF,3,0.5224869847297668,0.678272008895874
REKF,4,0.46750107407569885,0.6811769008636475
REKF,5,0.5304365158081055,0.6770291328430176
REKF,6,0.5712792873382568,0.7139320373535156
REKF,7,0.4454473853111267,0.683032751083374
REKF,8,0.4926527142524719,0.6968588829040527
REKF,9,0.5405951738357544,0.6759932041168213
Original,0,0.6378620266914368,0.8735003471374512
Original,1,0.5927029252052307,0.877485990524292
Original,2,0.53305584192276,0.893078088760376
Original,3,0.5613663196563721,0.8830640316009521
Original,4,0.5163955688476562,0.906775951385498
Original,5,0.5614072680473328,0.8653199672698975
Original,6,0.592723548412323,0.874321699142456
Original,7,0.4873012900352478,0.8687520027160645
Original,8,0.5288471579551697,0.8718612194061279
Original,9,0.5663881897926331,0.8690428733825684
Proposed,0,0.601608157157898,0.8075101375579834
Proposed,1,0.5615333914756775,0.7947592735290527
Proposed,2,0.48235273361206055,0.7865710258483887
Proposed,3,0.5203263759613037,0.7864060401916504
Proposed,4,0.4665873944759369,0.7896878719329834
Proposed,5,0.5274758338928223,0.7880198955535889
Proposed,6,0.5612343549728394,0.7921879291534424
Proposed,7,0.4456753432750702,0.8131022453308105
Proposed,8,0.4709746539592743,0.7845108509063721
Proposed,9,0.5432529449462891,0.7825579643249512
