model,scenario,inv_r2_db,sequence,mse
EKF,full,-12.04,0,0.16212961077690125
EKF,full,-12.04,1,0.2631719410419464
EKF,full,-12.04,2,0.2063439041376114
EKF,full,-12.04,3,0.29783886671066284
EKF,full,-12.04,4,0.22499391436576843
EKF,full,-12.04,5,0.26584357023239136
EKF,full,-12.04,6,0.1724557727575302
EKF,full,-12.04,7,0.24629631638526917
EKF,full,-12.04,8,0.20050190389156342
EKF,full,-12.04,9,0.2790612280368805
EKF,full,-12.04,10,0.21538271009922028
EKF,full,-12.04,11,0.25980719923973083
EKF,full,-12.04,12,0.2125851958990097
EKF,full,-12.04,13,0.19154971837997437
EKF,full,-12.04,14,0.3030482232570648
EKF,full,-12.04,15,0.32658129930496216
EKF,full,-12.04,16,0.2901597321033478
EKF,full,-12.04,17,0.2736644446849823
EKF,full,-12.04,18,0.2509656250476837
EKF,full,-12.04,19,0.2051660418510437
EKF,full,-12.04,20,0.24171875417232513
EKF,full,-12.04,21,0.2382715791463852
EKF,full,-12.04,22,0.21965788304805756
EKF,full,-12.04,23,0.35112911462783813
EKF,full,-12.04,24,0.2567439675331116
EKF,full,-12.04,25,0.30289191007614136
EKF,full,-12.04,26,0.18364915251731873
EKF,full,-12.04,27,0.3671432137489319
EKF,full,-12.04,28,0.1496141254901886
EKF,full,-12.04,29,0.26463833451271057
REKF,full,-12.04,0,0.16359806060791016
REKF,full,-12.04,1,0.2673962116241455
REKF,full,-12.04,2,0.2081713080406189
REKF,full,-12.04,3,0.2998962104320526
REKF,full,-12.04,4,0.2266557514667511
REKF,full,-12.04,5,0.26766902208328247
REKF,full,-12.04,6,0.17364828288555145
REKF,full,-12.04,7,0.24261435866355896
REKF,full,-12.04,8,0.1991102397441864
REKF,full,-12.04,9,0.27806735038757324
REKF,full,-12.04,10,0.21533319354057312
REKF,full,-12.04,11,0.25950467586517334
REKF,full,-12.04,12,0.2165994495153427
REKF,full,-12.04,13,0.1927463412284851
REKF,full,-12.04,14,0.3054640293121338
REKF,full,-12.04,15,0.32761767506599426
REKF,full,-12.04,16,0.2925339639186859
REKF,full,-12.04,17,0.27625277638435364
REKF,full,-12.04,18,0.2526417672634125
REKF,full,-12.04,19,0.20512144267559052
REKF,full,-12.04,20,0.24337640404701233
REKF,full,-12.04,21,0.23952259123325348
REKF,full,-12.04,22,0.2224155068397522
REKF,full,-12.04,23,0.3546614348888397
REKF,full,-12.04,24,0.2561517655849457
REKF,full,-12.04,25,0.3019919991493225
REKF,full,-12.04,26,0.18682700395584106
REKF,full,-12.04,27,0.3586256504058838
REKF,full,-12.04,28,0.14724718034267426
REKF,full,-12.04,29,0.26497843861579895
KalmanNet,full,-12.04,0,0.1595495194196701
KalmanNet,full,-12.04,1,0.252349853515625
KalmanNet,full,-12.04,2,0.1896829605102539
KalmanNet,full,-12.04,3,0.26070302724838257
KalmanNet,full,-12.04,4,0.24208469688892365
KalmanNet,full,-12.04,5,0.2487574815750122
KalmanNet,full,-12.04,6,0.1703370213508606
KalmanNet,full,-12.04,7,0.21677140891551971
KalmanNet,full,-12.04,8,0.187795028090477
KalmanNet,full,-12.04,9,0.24037013947963715
KalmanNet,full,-12.04,10,0.20217128098011017
KalmanNet,full,-12.04,11,0.23261328041553497
KalmanNet,full,-12.04,12,0.2206367701292038
KalmanNet,full,-12.04,13,0.18233110010623932
KalmanNet,full,-12.04,14,0.31619688868522644
KalmanNet,full,-12.04,15,0.30543601512908936
KalmanNet,full,-12.04,16,0.2815413177013397
KalmanNet,full,-12.04,17,0.2325376570224762
KalmanNet,full,-12.04,18,0.23976202309131622
KalmanNet,full,-12.04,19,0.21098901331424713
