model,scenario,inv_r2_db,mse_db,std_db
EKF,full,-12.04,-6.0654,0.8532
REKF,full,-12.04,-6.0517,0.8454
KalmanNet,full,-12.04,-6.3369,0.7834
Original,full,-12.04,-5.6449,1.0702
Proposed,full,-12.04,-6.0613,0.8515
EKF,partial,-12.04,-2.1931,1.4315
REKF,partial,-12.04,-1.8521,1.3541
KalmanNet,partial,-12.04,-6.3194,0.7603
Original,partial,-12.04,2.4525,1.2383
Proposed,partial,-12.04,-1.5927,1.2618
EKF,full,-6.02,-13.268,0.5723
REKF,full,-6.02,-13.2558,0.574
KalmanNet,full,-6.02,-13.2998,0.5774
Original,full,-6.02,-13.1347,0.5649
Proposed,full,-6.02,-13.2595,0.5747
EKF,partial,-6.02,-5.7489,2.0789
REKF,partial,-6.02,-4.1333,2.4761
KalmanNet,partial,-6.02,-12.546,0.5475
Original,partial,-6.02,-0.1755,1.6388
Proposed,partial,-6.02,-4.7494,2.4511
EKF,full,0.0,-19.5517,0.5087
REKF,full,0.0,-19.5441,0.5128
KalmanNet,full,0.0,-19.5213,0.5257
Original,full,0.0,-19.403,0.5145
Proposed,full,0.0,-19.5331,0.5134
EKF,partial,0.0,-8.291,0.3995
REKF,partial,0.0,-3.9049,2.8166
KalmanNet,partial,0.0,-16.5667,0.6517
Original,partial,0.0,-2.7315,2.5738
Proposed,partial,0.0,-5.6585,3.7057
EKF,full,10.0,-29.6273,0.4924
REKF,full,10.0,-29.6213,0.4942
KalmanNet,full,10.0,-29.5994,0.5069
Original,full,10.0,-29.4719,0.5016
Proposed,full,10.0,-29.5219,0.5004
EKF,partial,10.0,-8.6671,0.124
REKF,partial,10.0,-14.4795,0.4559
KalmanNet,partial,10.0,-19.0377,0.7812
Original,partial,10.0,-13.6885,0.3531
Proposed,partial,10.0,-14.4714,0.4545
