scenario,model,MSE_dB @ -12.04dB,MSE_dB @ -6.02dB,MSE_dB @ +0dB,MSE_dB @ +10dB,time_per_traj_s @ -12.04dB,time_per_traj_s @ -6.02dB,time_per_traj_s @ +0dB,time_per_traj_s @ +10dB,time_per_step_ms @ -12.04dB,time_per_step_ms @ -6.02dB,time_per_step_ms @ +0dB,time_per_step_ms @ +10dB,train_time_s @ -12.04dB,train_time_s @ -6.02dB,train_time_s @ +0dB,train_time_s @ +10dB
full,EKF,-6.0654,-13.268,-19.5517,-29.6273,0.1436,0.1482,0.1487,0.1499,1.436,1.482,1.487,1.499,,,,
full,REKF,-6.0517,-13.2558,-19.5441,-29.6213,0.5447,0.5214,0.5103,0.5065,5.447,5.214,5.103,5.065,,,,
full,KalmanNet,-6.3369,-13.2998,-19.5213,-29.5994,0.1301,0.1311,0.1321,0.1357,1.301,1.311,1.321,1.357,9.4,9.2,9.3,9.5
full,Original,-5.6449,-13.1347,-19.403,-29.4719,0.671,0.6672,0.6805,0.6931,6.71,6.672,6.805,6.931,1144.8,1084.4,1292.0,1136.4
full,Proposed,-6.0613,-13.2595,-19.5331,-29.5219,0.72,0.7227,0.7228,0.7755,7.2,7.227,7.228,7.755,2859.3,2035.7,2280.0,2696.0
partial,EKF,-2.1931,-5.7489,-8.291,-8.6671,0.1285,0.1286,0.1297,0.1331,1.285,1.286,1.297,1.331,,,,
partial,REKF,-1.8521,-4.1333,-3.9049,-14.4795,0.4143,0.4914,0.5404,0.5936,4.143,4.914,5.404,5.936,,,,
partial,KalmanNet,-6.3194,-12.546,-16.5667,-19.0377,0.1301,0.1312,0.1273,0.1293,1.301,1.312,1.273,1.293,9.1,9.2,9.2,9.0
partial,Original,2.4525,-0.1755,-2.7315,-13.6885,0.6547,0.6587,0.643,0.6497,6.547,6.587,6.43,6.497,1129.9,1037.8,1251.6,1092.3
partial,Proposed,-1.5927,-4.7494,-5.6585,-14.4714,0.5731,0.6294,0.7185,0.7964,5.731,6.294,7.185,7.964,1994.9,1984.6,2634.3,2531.4
