model,scenario,inv_r2_db,time_per_traj_s,time_std_s,time_per_step_ms,train_time_s,mse_db
EKF,full,-12.04,0.1436,0.0079,1.436,,-6.0654
REKF,full,-12.04,0.5447,0.0213,5.447,,-6.0517
KalmanNet,full,-12.04,0.1301,0.0094,1.301,9.4,-6.3369
Original,full,-12.04,0.671,0.007,6.71,1144.8,-5.6449
Proposed,full,-12.04,0.72,0.0099,7.2,2859.3,-6.0613
EKF,partial,-12.04,0.1285,0.0155,1.285,,-2.1931
REKF,partial,-12.04,0.4143,0.0205,4.143,,-1.8521
KalmanNet,partial,-12.04,0.1301,0.0106,1.301,9.1,-6.3194
Original,partial,-12.04,0.6547,0.0115,6.547,1129.9,2.4525
Proposed,partial,-12.04,0.5731,0.0171,5.731,1994.9,-1.5927
EKF,full,-6.02,0.1482,0.0166,1.482,,-13.268
REKF,full,-6.02,0.5214,0.0137,5.214,,-13.2558
KalmanNet,full,-6.02,0.1311,0.0053,1.311,9.2,-13.2998
Original,full,-6.02,0.6672,0.0203,6.672,1084.4,-13.1347
Proposed,full,-6.02,0.7227,0.0172,7.227,2035.7,-13.2595
EKF,partial,-6.02,0.1286,0.0117,1.286,,-5.7489
REKF,partial,-6.02,0.4914,0.0125,4.914,,-4.1333
KalmanNet,partial,-6.02,0.1312,0.0113,1.312,9.2,-12.546
Original,partial,-6.02,0.6587,0.0147,6.587,1037.8,-0.1755
Proposed,partial,-6.02,0.6294,0.0248,6.294,1984.6,-4.7494
EKF,full,0.0,0.1487,0.0117,1.487,,-19.5517
REKF,full,0.0,0.5103,0.0131,5.103,,-19.5441
KalmanNet,full,0.0,0.1321,0.0079,1.321,9.3,-19.5213
Original,full,0.0,0.6805,0.0201,6.805,1292.0,-19.403
Proposed,full,0.0,0.7228,0.0248,7.228,2280.0,-19.5331
EKF,partial,0.0,0.1297,0.014,1.297,,-8.291
REKF,partial,0.0,0.5404,0.0165,5.404,,-3.9049
KalmanNet,partial,0.0,0.1273,0.0156,1.273,9.2,-16.5667
Original,partial,0.0,0.643,0.016,6.43,1251.6,-2.7315
Proposed,partial,0.0,0.7185,0.0145,7.185,2634.3,-5.6585
EKF,full,10.0,0.1499,0.0201,1.499,,-29.6273
REKF,full,10.0,0.5065,0.0137,5.065,,-29.6213
KalmanNet,full,10.0,0.1357,0.0115,1.357,9.5,-29.5994
Original,full,10.0,0.6931,0.0236,6.931,1136.4,-29.4719
Proposed,full,10.0,0.7755,0.0304,7.755,2696.0,-29.5219
EKF,partial,10.0,0.1331,0.0193,1.331,,-8.6671
REKF,partial,10.0,0.5936,0.0145,5.936,,-14.4795
KalmanNet,partial,10.0,0.1293,0.011,1.293,9.0,-19.0377
Original,partial,10.0,0.6497,0.0136,6.497,1092.3,-13.6885
Proposed,partial,10.0,0.7964,0.0183,7.964,2531.4,-14.4714
