model,scenario,inv_r2_db,t,c_mean
Original,full,-12.04,1,0.4702962726354599
Original,full,-12.04,2,0.4707519471645355
Original,full,-12.04,3,0.47008640468120577
Original,full,-12.04,4,0.47059344947338105
Original,full,-12.04,5,0.47046283185482024
Original,full,-12.04,6,0.4702708601951599
Original,full,-12.04,7,0.4702163368463516
Original,full,-12.04,8,0.47058219015598296
Original,full,-12.04,9,0.4703765124082565
Original,full,-12.04,10,0.4705055087804794
Original,full,-12.04,11,0.4703907251358032
Original,full,-12.04,12,0.4701151043176651
Original,full,-12.04,13,0.47038074731826784
Original,full,-12.04,14,0.470699217915535
Original,full,-12.04,15,0.47021472454071045
Original,full,-12.04,16,0.47054753005504607
Original,full,-12.04,17,0.47025327384471893
Original,full,-12.04,18,0.47032309174537656
Original,full,-12.04,19,0.4703837871551514
Original,full,-12.04,20,0.4703435033559799
Original,full,-12.04,21,0.47089017033576963
Original,full,-12.04,22,0.4703574001789093
Original,full,-12.04,23,0.47061570584774015
Original,full,-12.04,24,0.4708072066307068
Original,full,-12.04,25,0.4702911227941513
Original,full,-12.04,26,0.4705128103494644
Original,full,-12.04,27,0.470507824420929
Original,full,-12.04,28,0.47061616480350493
Original,full,-12.04,29,0.4703834056854248
Original,full,-12.04,30,0.4703621745109558
Original,full,-12.04,31,0.4702405512332916
Original,full,-12.04,32,0.4702979952096939
Original,full,-12.04,33,0.47029184699058535
Original,full,-12.04,34,0.4705210328102112
Original,full,-12.04,35,0.47055002152919767
Original,full,-12.04,36,0.47034784555435183
Original,full,-12.04,37,0.47029646933078767
Original,full,-12.04,38,0.4706712692975998
Original,full,-12.04,39,0.47042628526687624
Original,full,-12.04,40,0.4701797991991043
Original,full,-12.04,41,0.47090552747249603
Original,full,-12.04,42,0.47043772637844083
Original,full,-12.04,43,0.47048968374729155
Original,full,-12.04,44,0.4705240368843079
Original,full,-12.04,45,0.47024619579315186
Original,full,-12.04,46,0.4701779276132584
Original,full,-12.04,47,0.4704327881336212
Original,full,-12.04,48,0.47086833119392396
Original,full,-12.04,49,0.4706454902887344
Original,full,-12.04,50,0.47035700380802153
Original,full,-12.04,51,0.4707528352737427
Original,full,-12.04,52,0.4702294260263443
Original,full,-12.04,53,0.4708017647266388
Original,full,-12.04,54,0.4705057442188263
Original,full,-12.04,55,0.4703677326440811
Original,full,-12.04,56,0.47049517631530763
Original,full,-12.04,57,0.47049049437046053
Original,full,-12.04,58,0.4703922301530838
Original,full,-12.04,59,0.4703838437795639
Original,full,-12.04,60,0.47060572504997256
Original,full,-12.04,61,0.470410430431366
Original,full,-12.04,62,0.47037409245967865
Original,full,-12.04,63,0.4707446813583374
Original,full,-12.04,64,0.4705696105957031
Original,full,-12.04,65,0.47075161039829255
Original,full,-12.04,66,0.4703884214162827
Original,full,-12.04,67,0.4706000655889511
Original,full,-12.04,68,0.4702424943447113
Original,full,-12.04,69,0.4706961840391159
Original,full,-12.04,70,0.4703546464443207
Original,full,-12.04,71,0.4703164786100388
Original,full,-12.04,72,0.4704851806163788
Original,full,-12.04,73,0.47082139551639557
Original,full,-12.04,74,0.4702195316553116
Original,full,-12.04,75,0.4698659509420395
Original,full,-12.04,76,0.47062433063983916
Original,full,-12.04,77,0.47022887170314787
Original,full,-12.04,78,0.47044970095157623
Original,full,-12.04,79,0.4704385995864868
Original,full,-12.04,80,0.4706822901964188
Original,full,-12.04,81,0.47019834220409396
Original,full,-12.04,82,0.4705333948135376
Original,full,-12.04,83,0.4701213985681534
Original,full,-12.04,84,0.4704495817422867
Original,full,-12.04,85,0.4704105019569397
Original,full,-12.04,86,0.4707098066806793
Original,full,-12.04,87,0.47052107453346254
Original,full,-12.04,88,0.4703709363937378
Original,full,-12.04,89,0.47042143940925596
Original,full,-12.04,90,0.47063848972320554
Original,full,-12.04,91,0.4702781766653061
Original,full,-12.04,92,0.47028116285800936
Original,full,-12.04,93,0.4708391636610031
Original,full,-12.04,94,0.47085795402526853
Original,full,-12.04,95,0.4706833064556122
Original,full,-12.04,96,0.4703323066234589
Original,full,-12.04,97,0.47025867104530333
Original,full,-12.04,98,0.4707234472036362
Original,full,-12.04,99,0.4706616520881653
Original,full,-12.04,100,0.4708444684743881
Proposed,full,-12.04,1,0.31474135518074037
Proposed,full,-12.04,2,0.2025712698698044
Proposed,full,-12.04,3,0.13662927150726317
Proposed,full,-12.04,4,0.10700462684035301
Proposed,full,-12.04,5,0.08420483097434044
Proposed,full,-12.04,6,0.07545699626207351
Proposed,full,-12.04,7,0.07356036603450775
Proposed,full,-12.04,8,0.06945564746856689
Proposed,full,-12.04,9,0.0635407254099846
Proposed,full,-12.04,10,0.05838773362338543
Proposed,full,-12.04,11,0.05669214241206646
Proposed,full,-12.04,12,0.0534701619297266
Proposed,full,-12.04,13,0.05390675254166126
Proposed,full,-12.04,14,0.05144237205386162
Proposed,full,-12.04,15,0.0504287701100111
Proposed,full,-12.04,16,0.05078495778143406
Proposed,full,-12.04,17,0.05172222517430782
Proposed,full,-12.04,18,0.04926106855273247
Proposed,full,-12.04,19,0.05167164467275143
Proposed,full,-12.04,20,0.049982886761426926
Proposed,full,-12.04,21,0.05093267746269703
Proposed,full,-12.04,22,0.050480463355779645
Proposed,full,-12.04,23,0.04869864992797375
Proposed,full,-12.04,24,0.04616159163415432
Proposed,full,-12.04,25,0.04546734541654587
Proposed,full,-12.04,26,0.04544474184513092
Proposed,full,-12.04,27,0.04613965041935444
Proposed,full,-12.04,28,0.046630934253335
Proposed,full,-12.04,29,0.047150067239999774
Proposed,full,-12.04,30,0.04873659275472164
Proposed,full,-12.04,31,0.050920159369707105
Proposed,full,-12.04,32,0.05048375725746155
Proposed,full,-12.04,33,0.048336299136281013
Proposed,full,-12.04,34,0.04966370537877083
Proposed,full,-12.04,35,0.049507719650864604
Proposed,full,-12.04,36,0.04952069409191608
Proposed,full,-12.04,37,0.05117187574505806
Proposed,full,-12.04,38,0.04867334105074406
Proposed,full,-12.04,39,0.04739431925117969
Proposed,full,-12.04,40,0.04613506235182285
Proposed,full,-12.04,41,0.04771449416875839
Proposed,full,-12.04,42,0.04628348723053932
Proposed,full,-12.04,43,0.04617676250636578
Proposed,full,-12.04,44,0.046632128208875655
Proposed,full,-12.04,45,0.046657048910856244
Proposed,full,-12.04,46,0.04553013555705547
Proposed,full,-12.04,47,0.04418556615710258
Proposed,full,-12.04,48,0.043322039768099785
Proposed,full,-12.04,49,0.042111849039793016
Proposed,full,-12.04,50,0.04322745241224766
Proposed,full,-12.04,51,0.04385751336812973
Proposed,full,-12.04,52,0.0445531290024519
Proposed,full,-12.04,53,0.04460484385490417
Proposed,full,-12.04,54,0.04344516210258007
Proposed,full,-12.04,55,0.042575521022081377
Proposed,full,-12.04,56,0.04302511177957058
Proposed,full,-12.04,57,0.043591979146003726
Proposed,full,-12.04,58,0.04494781792163849
Proposed,full,-12.04,59,0.04474930055439472
Proposed,full,-12.04,60,0.04584828689694405
Proposed,full,-12.04,61,0.044844089448451994
Proposed,full,-12.04,62,0.04514660723507404
Proposed,full,-12.04,63,0.047714902088046074
Proposed,full,-12.04,64,0.047579070553183556
Proposed,full,-12.04,65,0.04833530969917774
Proposed,full,-12.04,66,0.048181989789009096
Proposed,full,-12.04,67,0.0482655581086874
Proposed,full,-12.04,68,0.04788748472929001
Proposed,full,-12.04,69,0.048198890313506125
Proposed,full,-12.04,70,0.047727225720882414
Proposed,full,-12.04,71,0.04938382841646671
Proposed,full,-12.04,72,0.0488107830286026
Proposed,full,-12.04,73,0.04780264347791672
Proposed,full,-12.04,74,0.04481006264686584
Proposed,full,-12.04,75,0.046672407537698746
Proposed,full,-12.04,76,0.04692263565957546
Proposed,full,-12.04,77,0.0477167833596468
Proposed,full,-12.04,78,0.04729321412742138
Proposed,full,-12.04,79,0.048066628724336626
Proposed,full,-12.04,80,0.04567773453891277
Proposed,full,-12.04,81,0.045028971135616304
Proposed,full,-12.04,82,0.04523634612560272
Proposed,full,-12.04,83,0.047553931921720506
Proposed,full,-12.04,84,0.051018381491303444
Proposed,full,-12.04,85,0.048198380321264264
Proposed,full,-12.04,86,0.047998004406690595
Proposed,full,-12.04,87,0.04637397602200508
Proposed,full,-12.04,88,0.0468315239995718
Proposed,full,-12.04,89,0.0486229669302702
Proposed,full,-12.04,90,0.0482710737735033
Proposed,full,-12.04,91,0.04903623089194298
Proposed,full,-12.04,92,0.04873122908174991
Proposed,full,-12.04,93,0.04844998605549335
Proposed,full,-12.04,94,0.047272170707583425
Proposed,full,-12.04,95,0.04664152972400189
Proposed,full,-12.04,96,0.046901578456163405
Proposed,full,-12.04,97,0.04589899517595768
Proposed,full,-12.04,98,0.04583666399121285
Proposed,full,-12.04,99,0.044561495259404185
Proposed,full,-12.04,100,0.04350073039531708
REKF,full,-12.04,1,0.14384498882876628
REKF,full,-12.04,2,0.14384498882876628
REKF,full,-12.04,3,0.14384498882876628
REKF,full,-12.04,4,0.14384498882876628
REKF,full,-12.04,5,0.14384498882876628
REKF,full,-12.04,6,0.14384498882876628
REKF,full,-12.04,7,0.14384498882876628
REKF,full,-12.04,8,0.14384498882876628
REKF,full,-12.04,9,0.14384498882876628
REKF,full,-12.04,10,0.14384498882876628
REKF,full,-12.04,11,0.14384498882876628
REKF,full,-12.04,12,0.14384498882876628
REKF,full,-12.04,13,0.14384498882876628
REKF,full,-12.04,14,0.14384498882876628
REKF,full,-12.04,15,0.14384498882876628
REKF,full,-12.04,16,0.14384498882876628
REKF,full,-12.04,17,0.14384498882876628
REKF,full,-12.04,18,0.14384498882876628
REKF,full,-12.04,19,0.14384498882876628
REKF,full,-12.04,20,0.14384498882876628
REKF,full,-12.04,21,0.14384498882876628
REKF,full,-12.04,22,0.14384498882876628
REKF,full,-12.04,23,0.14384498882876628
REKF,full,-12.04,24,0.14384498882876628
REKF,full,-12.04,25,0.14384498882876628
REKF,full,-12.04,26,0.14384498882876628
REKF,full,-12.04,27,0.14384498882876628
REKF,full,-12.04,28,0.14384498882876628
REKF,full,-12.04,29,0.14384498882876628
REKF,full,-12.04,30,0.14384498882876628
REKF,full,-12.04,31,0.14384498882876628
REKF,full,-12.04,32,0.14384498882876628
REKF,full,-12.04,33,0.14384498882876628
REKF,full,-12.04,34,0.14384498882876628
REKF,full,-12.04,35,0.14384498882876628
REKF,full,-12.04,36,0.14384498882876628
REKF,full,-12.04,37,0.14384498882876628
REKF,full,-12.04,38,0.14384498882876628
REKF,full,-12.04,39,0.14384498882876628
REKF,full,-12.04,40,0.14384498882876628
REKF,full,-12.04,41,0.14384498882876628
REKF,full,-12.04,42,0.14384498882876628
REKF,full,-12.04,43,0.14384498882876628
REKF,full,-12.04,44,0.14384498882876628
REKF,full,-12.04,45,0.14384498882876628
REKF,full,-12.04,46,0.14384498882876628
REKF,full,-12.04,47,0.14384498882876628
REKF,full,-12.04,48,0.14384498882876628
REKF,full,-12.04,49,0.14384498882876628
REKF,full,-12.04,50,0.14384498882876628
REKF,full,-12.04,51,0.14384498882876628
REKF,full,-12.04,52,0.14384498882876628
REKF,full,-12.04,53,0.14384498882876628
REKF,full,-12.04,54,0.14384498882876628
REKF,full,-12.04,55,0.14384498882876628
REKF,full,-12.04,56,0.14384498882876628
REKF,full,-12.04,57,0.14384498882876628
REKF,full,-12.04,58,0.14384498882876628
REKF,full,-12.04,59,0.14384498882876628
REKF,full,-12.04,60,0.14384498882876628
REKF,full,-12.04,61,0.14384498882876628
REKF,full,-12.04,62,0.14384498882876628
REKF,full,-12.04,63,0.14384498882876628
REKF,full,-12.04,64,0.14384498882876628
REKF,full,-12.04,65,0.14384498882876628
REKF,full,-12.04,66,0.14384498882876628
REKF,full,-12.04,67,0.14384498882876628
REKF,full,-12.04,68,0.14384498882876628
REKF,full,-12.04,69,0.14384498882876628
REKF,full,-12.04,70,0.14384498882876628
REKF,full,-12.04,71,0.14384498882876628
REKF,full,-12.04,72,0.14384498882876628
REKF,full,-12.04,73,0.14384498882876628
REKF,full,-12.04,74,0.14384498882876628
REKF,full,-12.04,75,0.14384498882876628
REKF,full,-12.04,76,0.14384498882876628
REKF,full,-12.04,77,0.14384498882876628
REKF,full,-12.04,78,0.14384498882876628
REKF,full,-12.04,79,0.14384498882876628
REKF,full,-12.04,80,0.14384498882876628
REKF,full,-12.04,81,0.14384498882876628
REKF,full,-12.04,82,0.14384498882876628
REKF,full,-12.04,83,0.14384498882876628
REKF,full,-12.04,84,0.14384498882876628
REKF,full,-12.04,85,0.14384498882876628
REKF,full,-12.04,86,0.14384498882876628
REKF,full,-12.04,87,0.14384498882876628
REKF,full,-12.04,88,0.14384498882876628
REKF,full,-12.04,89,0.14384498882876628
REKF,full,-12.04,90,0.14384498882876628
REKF,full,-12.04,91,0.14384498882876628
REKF,full,-12.04,92,0.14384498882876628
REKF,full,-12.04,93,0.14384498882876628
REKF,full,-12.04,94,0.14384498882876628
REKF,full,-12.04,95,0.14384498882876628
REKF,full,-12.04,96,0.14384498882876628
REKF,full,-12.04,97,0.14384498882876628
REKF,full,-12.04,98,0.14384498882876628
REKF,full,-12.04,99,0.14384498882876628
REKF,full,-12.04,100,0.14384498882876628
Original,partial,-12.04,1,0.4702704191207886
Original,partial,-12.04,2,0.47071979343891146
Original,partial,-12.04,3,0.47004851400852204
Original,partial,-12.04,4,0.4705472230911255
Original,partial,-12.04,5,0.4704520732164383
Original,partial,-12.04,6,0.47021524310112
Original,partial,-12.04,7,0.4701842129230499
Original,partial,-12.04,8,0.47054161727428434
Original,partial,-12.04,9,0.47035701870918273
Original,partial,-12.04,10,0.47044083178043367
Original,partial,-12.04,11,0.4703604131937027
Original,partial,-12.04,12,0.47007339298725126
Original,partial,-12.04,13,0.470332407951355
Original,partial,-12.04,14,0.47061656713485717
Original,partial,-12.04,15,0.4701663613319397
Original,partial,-12.04,16,0.47050983011722564
Original,partial,-12.04,17,0.47013314068317413
Original,partial,-12.04,18,0.4702807605266571
Original,partial,-12.04,19,0.4703040659427643
Original,partial,-12.04,20,0.47039839923381804
Original,partial,-12.04,21,0.4709267199039459
Original,partial,-12.04,22,0.4702174574136734
Original,partial,-12.04,23,0.47063517570495605
Original,partial,-12.04,24,0.47080470621585846
Original,partial,-12.04,25,0.47031215727329256
Original,partial,-12.04,26,0.4705645114183426
Original,partial,-12.04,27,0.47053323984146117
Original,partial,-12.04,28,0.4705793082714081
Original,partial,-12.04,29,0.47032718658447265
Original,partial,-12.04,30,0.47023860812187196
Original,partial,-12.04,31,0.47017830312252046
Original,partial,-12.04,32,0.4702952831983566
Original,partial,-12.04,33,0.4702741116285324
Original,partial,-12.04,34,0.4704825937747955
Original,partial,-12.04,35,0.4705212742090225
Original,partial,-12.04,36,0.4702545166015625
Original,partial,-12.04,37,0.4703043013811111
Original,partial,-12.04,38,0.47059621214866637
Original,partial,-12.04,39,0.47034929096698763
